,Type,Mass /kg,Mass /Earth Mass,Mean Radius /km,Mean Radius /Earth Radii,Apoapsis /AU,Periapsis /AU,Argument of Periapsis /degrees,Semi-major axis /AU,Inclination (to ecliptic) /degrees,Sidereal Orbital Period /days,Sidereal Rotational Period /days,Axial Tilt /degrees,Absolute Magnitude,Average Density /g/cm3 ,Surface Temp /K,Surface gravity /g,Moons?,Ring radius (from equator) /km,Ring Depth /m,Eccentricity,Longitude of ascending node /degrees,true anomaly (on the 2nd of feb) /degrees,Mass of Body which it orbits,Name of Body which it orbits,NOTES,Color,nthMoon
Io,Moon,8.93E+22,0.023,1821.6,0.2859,0.00283,0.002808,0,0.002819,2.213,1.769,1.769,0,NaN,3.528,110,0.183,0,0,0,0.004031,0,0,1.90E+27,Jupiter,Io is the closest of the Galilean moons to Jupiter; and is named after the mythological priestess who was a lover of Zeus’. It is the closest Galilean moon to Jupiter; and due to that and its proximity to the other Galilean moons; Io undergoes extreme tidal heating in its interior. Due to this; it is an incredibly volcanic moon; with over 400 active volcanoes; and 100 mountains many of which are taller than Mount Everest. The material ejected from these volcanoes is sometimes released into Jupiter’s orbit; producing plasma tori: large clouds of plasma surrounding jupiter.,#E6D876,1
Europa ,Moon,4.80E+22,0.008,1560.8,0.245,0.004525,0.004444,0,0.004484,1.791,3.551,3.551,0.1,NaN,3.013,102,0.134,0,0,0,0.009,0,0,1.90E+27,Jupiter,Europa is the smallest Galilean Moon; and gets its name from the mythological priestess; lover of Zeus; and mother of King Minos of Crete. The main notable feature of Europa is its potential to harbour life; due to its unique structure. Due to the relatively smooth surface; and the strong magnetic disturbance of the moon; scientists have theorised that the surface of Europa may have a thin crust formed of ice; with a global ocean of salt water making up most of its composition beneath its surface. If this were true; this would be the only location in the Solar System besides Earth where liquid water is present; and potentially therefore life. This theory is supported by recent observations from the Hubble Space Telescope that observed possible thin plumes of water ejected from Europa’s surface; backed up by NASA’s recent 2019 announcement that it had detected water vapour above Europa’s Surface. If life were present inside Europa; it would be intrinsically different from life as we know it; as it would be chemical based; rather than relying on photosynthesis as early life did; due to the lack of sunlight beneath Europa’s surface.,#7F5E42,2
Ganymede,Moon,1.48E+23,0.025,2634,0.413,0.007163,0.007147,0,0.007155,2.214,7.155,7.155,0.33,NaN,1.936,110,0.146,0,0,0,0.0013,0,0,1.90E+27,Jupiter,The largest moon in the Solar System; Ganymede; is larger even than Mercury. It is named after Zeus’ cupbearer. Just as with Europa; it too contains an internal ocean that may contain more water than all of Earth’s oceans; hidden below a 150 km thick crust of ice-rock. Ganymede is the only moon to have a confirmed magnetic field; due to its large iron core; and potential salt water ocean. With the possibility of an internal ocean; this also makes Ganymede a potential harbour for life. However; it is a less likely possibility than for Europa; as Europa’s ocean is much closer to the surface than Ganymede’s; meaning that the essential minerals for life on the surface are more likely to mix with the internal oceans of Europa. Another reason is because Europa’s ocean is more homogenous; unlike Ganymedes; which is separated by layers of ice and rock. Ganymede; Europa and Io’s orbits have an interesting relationship between each other and Jupiter’s orbits - they are resonant; meaning that for every time Ganymede completes one orbit around Jupiter; Europe orbits twice; and Io four times.,#B7AD9F,3
Callisto,Moon,1.08E+23,0.018,2410.3,0.378,0.01249,0.01268,0,0.01259,2.017,16.689,16.689,0,NaN,1.8344,134,0.126,0,0,0,0.0074,0,0,1.90E+27,Jupiter,Callisto is Jupiter’s second largest moon; and the farthest Galilean moon. It is named after the mythological figure who Zeus turned into a bear. Similar to Ganymede; Callisto is covered by a thick icy surface; with a potentially deep icy ocean; that could be a potential habitat for life. The surface of Callisto is the oldest and most cratered in the Solar System. Due to most of these impact craters still being visible; it is unlikely that Callisto is geologically active. Another potential sign of life is the oxygen that has been detected on the surface of the moon. Callisto is much less affected by Jupiter’s strong magnetosphere; due to its distance from the planet. Due to this; and its low radiation levels and geological activity; Callisto has been theorised as the best landing point for any potential future manned mission to study Jupiter and its moons.,#7B765B,4
Saturn,Planet,5.68E+26,95.159,58232,9.1402,10.1238,9.0412,339.392,9.5826,2.485,10755.7,0.4375,26.73,-9.7,0.687,134,1.065,146,120700,20,0.0565,113.665,249.2766,1.99E+30,Sun,Saturn’s name comes from the Roman god of wealth; and Jupiter’s father; and is the farthest planet that was discovered by the naked eye. Like Jupiter; it is a gas giant; and like all gas giants; it has rings. But unlike the other gas giants; Saturn’s are by far the most visible and prominent. The famous rings of Saturn are mainly made up of ice and rock; ranging from the size of a speck of dust to about 20 m in thickness; orbiting the gas giant. Some of Saturn’s moons; such as Pandora and Prometheus; act as ‘shepherds’ of the rings; and keep them confined using their gravitational fields. The reason for the formation of Saturn’s rings is still unknown; but a study in 2023 revealed a suggestion that the rings of the gas giant may have been formed from the collision of two Saturnian moons. The atmosphere of Saturn is similar to Jupiter (composed mostly of hydrogen and helium). One prevalent feature is the persistent hexagonal storm at Saturn’s north pole. Most researchers theorise that the shape is formed via a standing-wave pattern; and the storm garners much insight into Saturn’s atmosphere. Saturn currently has 146 confirmed moons orbiting it; the most of any planet in the Solar System. Interestingly; Saturn is also the least dense planet in the Solar System; and the only one which has a density less than water.,#D5B98C,0
Titan,Moon,1.35E+23,0.0225,2574,0.404,0.0084029,0.007932,0,0.008168,2.834,15.945,15.945,0,NaN,1.8798,93.7,0.138,0,0,0,0.0288,0,0,5.68E+26,Saturn,Titan is Saturn’s largest moon; and the second largest in the whole Solar System; and is very unique. Titan is the only moon to have a present and dense atmosphere; hence its smooth appearance compared to the rocky look of most moons. This dense atmosphere of nitrogen and hydrocarbons; gives rise to weather: wind and rain. This weather gives rise to surface features on Titan remarkably similar to Earth: mountains; valleys; lakes; and oceans. It is the only body in space other than the Earth; for which there is clear evidence of stable standing liquid. However; these great lakes are not made of water; but more likely methane or ethane; due to the low temperature of the surface. The cycle which methane takes on Titan is so similar to the water cycle on Earth; that Titan has been described as the most Earth-like celestial object in the Solar System. However; if life were to exist here; it would be intrinsically different to carbon-based life as we know it; due to the absence of liquid water. Due to its distance from the Sun; Titan has a surface temperature of about -200°C; and receives 100 times less sunlight than Earth. Titan is named after the immortal race in Greek mythology.,#8BAB83,1
Rhea,Moon,2.31E+21,3.90E-04,763.5,0.1198,0.003523,0.003523,0,0.003523,2.83,4.518,4.518,0,0,1.2372,76,0.0269,0,0,0,0.001258,0,0,5.68E+26,Saturn,Named after the Titan in Greek mythology; Rhea is Saturn’s second largest moon. Rhea is an icy moon with a low density; indicating that it is made of mostly ice. In 2008; Cassini found potential evidence of rings; which would make Rhea the only known moon with rings. This discovery has been followed up with further targeted observations that disagree with this conclusion; leading to debate on the validity of the evidence. Rhea is unique as it is theorised to not contain a core; but rather a solid homogeneous interior of ice and ammonia. The surface temperature varies between -174 °C and -200 °C.,#959595,2
Uranus,Planet,8.68E+25,14.536,25362,3.981,20.0965,18.2861,96.999,19.19126,0.773,30688.5,-0.71833,82.23,-7.2,1.27,76,0.886,27,NaN,1000,0.04717,74.006,246.8864,1.99E+30,Sun,Uranus is the first of the two Ice Giants; and is named after the Greek god of the sky. The classification ‘Ice Giant’ is; due to the lower temperature; a world which contains a higher concentration of more volatile molecules than Jupiter and Saturn; such as methane. As a gas giant; the majority of Neptune’s icy atmosphere is hydrogen and helium. However; the majority of its mass is water; methane (where it gets its blue-green colour); and ammonia. These form a hot; dense fluid; near the core. The complex atmosphere is the coldest in the Solar System; reaching minimum temperatures of -224 °C.  Just as with the other gas giants; Uranus has a very faint ring system; as well as 27 moons. The moons of Uranus are all named after characters from William Shakespeare and Alexander Pope; as opposed to the typical nomenclature of Ancient Deities. Uranus is the only planet besides Venus to exhibit retrograde rotation: it spins in the opposite direction to the other planets. The icy giant has a very strange magnetosphere; whereas most magnetic fields are aligned with their respective planet’s rotation; Uranus’ is tilted 60 degrees from the axis of rotation. Due to this; the auroras that occur on the planet do not happen on the poles as on Earth. The only spacecraft to have ever come close to Uranus is the Voyager 2 probe; when it flew by in 1986. Using the powerful telescopes of today; much can be studied and discerned; however; the CNSA (The Chinese National Space Administration) plans to visit in the near future.,#CCF2F5,0
Titania,Moon,3.40E+21,5.69E-04,788.4,0.1235,0.002914,0.002914,0,0.002914,1.113,8.706,8.706,0,0,1.711,70,0.03721,0,0,0,0.0011,0,0,8.68E+25,Uranus,Named after the queen of fairies from ‘A Midsummer Night’s Dream’; Titania is Uranus’ largest moon; and is composed of equal parts ice and rock. Its surface shows evidence of an expansion and a major resurfacing event; essentially ‘shedding’ its crust into the Uranian rings. The moon was first discovered in 1787 by the British astronomer William Herschel; on the same day he discovered Uranus’ other major moon; Oberon.,#CCBEB3,1
Oberon,Moon,3.08E+21,5.15E-04,761.4,0.1194,0.003901,0.003901,0,0.003901,0.831,13.463,13.463,0,0,1.63,75,0.03609,0,0,0,0.0014,0,0,8.68E+25,Uranus,Oberon is the outermost moon of Uranus; and its second largest. It gets its name from the king of fairies in ‘A Midsummer Night’s Dream’. Little was known about Oberon until Voyager 2 flew by it in 1986; and even since then observation from Earth is challenging not just due to its distance; but position relative to Uranus and Earth. It is also one of Uranus’ darkest moons; with a low reflectivity. Just as with the naming of Uranian moons; the major geological features of Oberon are named after famous Shakespeare characters; such as the craters Hamlet; Macbeth; Falstaff; and Romeo. Just as with Titania; Oberon is composed of equal parts ice and rock,#BEB4A7,2
Neptune,Planet,1.02E+26,17.147,24662,3.8647,30.33,29.81,273.19,30.07,1.77,60195,0.6713,28.32,-6.9,1.683,72,1.14,14,NaN,20,0.008678,131.783,325.4422,1.99E+30,Sun,The furthest planet from the Sun; Neptune is the only planet not visible from Earth to the naked eye. It is more than 30 times further from the Sun as Earth is; and orbits the Sun once every 165 years. Neptune is named after the Roman god of the sea. If a spaceship was travelling at the speed of light; it would still take a little under four hours to reach Neptune from Earth. Neptune has 14 moons that have been discovered. It is the densest gas giant in the Solar System; and due to this and its slightly smaller size than Uranus; Neptune has a large gravitational compression of its atmosphere. Just as with all gas giants; it has no clearly defined surface. The existence of Neptune was actually predicted before it was discovered; by the French astronomer Alexis Bouvard; due to Neptune’s visible effect on Uranus’ observed orbit. Just as with Uranus; the only man-made object to come close to the solitary ice-world was Voyager 2 in 1989. Similarly to Jupiter’s Great Red Spot; Voyager 2 observed the Great Dark Spot on Neptune’s surface: a giant storm that has since dissipated. Neptune’s atmosphere contains mostly hydrogen and helium; but the bright and vivid blue colour it exhibits is caused by an unknown molecule/component unknown to scientists.,#4368FD,0
Triton,Moon,2.14E+22,0.00359,1353,0.2122,0.002371,0.002371,0,0.002371,129.8,5.8769,5.8769,0,-1.2,2.061,38,0.0794,0,0,0,0.000016,0,0,1.02E+26,Neptune,Triton is Neptune’s largest moon; and is unusual in a number of ways. Aptly named after the merman son of Neptune; Triton is the only major moon in the Solar System to orbit its planet in the opposite direction relative to the planet's rotation; known as retrograde orbit. This unusual orbit is explained by the theory that Triton was actually an object from the nearby Kuiper Belt; which was captured by Neptune’s gravity. If this were true; Triton would be able to provide many valuable insights into Kuiper Belt objects; such as Pluto. Triton is a bright and reflective moon; due to the thin sheen provided by the frozen nitrogen on its surface. Triton is also Unique as it is the one of the only moons which is geologically active; due to the seasonal heating from the Sun.,#E0D1D6,1
Pluto,Dwarf Planet,1.30E+22,0.00218,1188.3,0.1868,49.305,29.658,113.834,39.482,17.16,90560,-6.387,123.53,-0.44,1.854,44,0.063,5,0,0,0.2488,110.299,77.6538,1.99E+30,Sun,Pluto has an interesting history in human culture. It is most famous for its demotion from Planet to Dwarf Planet status; due to revaluation in 2006 of what defines a Planet; more specifically; that for a planet to be a planet; it must have cleared its orbit. Pluto; being a member of the Kuiper belt; did not fit this description. While Pluto still holds to the typical naming convention of Roman deities for planets; it was named by 11 year old Venetia Burney; whose grandfather forwarded the suggestion to the Lowell Observatory. There is speculation that she was naming the planet after the cartoon dog Pluto; while in fact it was the other way around; as Pluto debuted the same year as the Dwarf Planet was named; 1930. The orbit of Pluto is unique; as it is more elliptical than most of the planets and is also heavily tilted (57 degrees) with respect to the Sun. Due to the shape of its orbit; Pluto was actually closer to the Earth than Neptune was in 1979-1999; during its closest approach to the Sun (perihelion). Pluto has five moons; with its most major being Charon; which is almost half of the size of Pluto. Due to their relative size (the largest in the Solar System) and close proximity; Pluto and Charon are often considered as a binary planet system. Compared to Earth; Pluto is about a sixth of its size.,#DEE4E0,0
Haumea,Dwarf Planet,4.01E+21,0.00066,780,0.1224,51.585,34.647,239.041,43.116,28.21,103410,0.1631,126,0.2,2.018,50,0.0948,2,0,0,0.19642,122.167,207.9059,1.99E+30,Sun,The second dwarf planet in the Kuiper belt; Haumea is named after the Hawaiian goddess of fertility. Due to its distance from Earth (about 45 times further than the distance between the Earth and the Sun); and its size (a third of the size of Pluto); Haumea has not been directly observed; but from calculations; astronomers have concluded it has the shape of a Jacobi ellipsoid (the same shape as a rugby ball); one of the only major orbiting bodies to have that shape. The dwarf planet is; however; very reflective due to a thin layer of ice on its surface. Haumea was declared a dwarf planet in 2005; but had actually been first photographed in 1955; originally thought to be a star due its high reflectivity.,#F4F1EF,0
Makemake,Dwarf Planet,3.10E+21,5.19E-04,715,0.1122,52.756,38.104,294.834,45.43,28.98,111845,0.9511,0,-0.12,1.7,32,0.0581,1,0,0,0.16126,79.62,171.2685,1.99E+30,Sun,Named after the Rapa Nui god of fertility; not much is known about the distant dwarf planet Makemake. It is currently the second brightest object in the Kuiper belt after Pluto; and appears to have a red-brown colour. It is theorised to contain grains of frozen methane on its surface; as well as many other complex hydrocarbons; such as ethylene and acetylene. Makemake; despite its relative brightness; was discovered quite late compared to other dwarf planets (2005); due to its high inclination; it doesn’t orbit the Sun on a similar plane to most of the other planets.,#A8877E,0
Eris,Dwarf Planet,1.65E+22,0.0027,1163,0.1824,97.457,38.271,151.639,67.864,44.04,204199,15.786,78.3,-1.21,2.43,42,0.084,1,0,0,0.43607,35.951,193.2761,1.99E+30,Sun,The furthest currently discovered dwarf planet from the Sun; Eris’ discovery in 2005 sparked the debate about dwarf planets which lead to Pluto’s reclassification to dwarf planet status. After its discovery; and months of debate on how to classify the body; Eris was determined to be a dwarf planet; bringing Pluto with it. Fittingly; the name Eris comes from the Greek goddess of discord. Eris is so cold and distant from the Sun; that its own atmosphere collapses in on itself; freezing and forming ‘snow’ on its surface. Very little is known about Eris’ composition and structure.,#CBCED7,0
